REGION,FUEL,YEAR,VALUE
REGION1,ITNG,2024,1429,67885269981
REGION1,ITNG,2025,1443,16071239926
REGION1,ITNG,2026,1403,40018773228
REGION1,ITNG,2027,1363,6396630653
REGION1,ITNG,2028,1323,87913839832
REGION1,ITNG,2029,1284,11861373134
REGION1,ITNG,2030,1244,35808906436
REGION1,ITNG,2031,1211,50900822329
REGION1,ITNG,2032,1178,65992738222
REGION1,ITNG,2033,1145,81084654115
REGION1,ITNG,2034,1112,96176570008
REGION1,ITNG,2035,1080,11268485901
REGION1,ITNG,2036,1070,60445296293
REGION1,ITNG,2037,1061,09622106686
REGION1,ITNG,2038,1051,58798917078
REGION1,ITNG,2039,1042,07975727471
REGION1,ITNG,2040,1032,57152537863
REGION1,ITNG,2041,1032,50751288026
REGION1,ITNG,2042,1032,44350038188
REGION1,ITNG,2043,1032,37948788351
REGION1,ITNG,2044,1032,31547538513
REGION1,ITNG,2045,1032,25146288676
REGION1,ITNG,2046,1029,51127932469
REGION1,ITNG,2047,1026,77109576261
REGION1,ITNG,2048,1024,03091220054
REGION1,ITNG,2049,1021,29072863847
REGION1,ITNG,2050,1018,55054507639
REGION1,ITNG,2051,1018,55054507639
REGION1,ITNG,2052,1018,55054507639
REGION1,ITNG,2053,1018,55054507639
REGION1,ITNG,2054,1018,55054507639
REGION1,ITNG,2055,1018,55054507639
REGION1,ITNG,2056,1018,55054507639
REGION1,ITNG,2057,1018,55054507639
REGION1,ITNG,2058,1018,55054507639
REGION1,ITNG,2059,1018,55054507639
REGION1,ITNG,2060,1018,55054507639
REGION1,LTNG,2015,69,6694796542979
REGION1,LTNG,2016,70,9856725855913
REGION1,LTNG,2017,72,3018655168847
REGION1,LTNG,2018,73,6180584481781
REGION1,LTNG,2019,74,9342513794715
REGION1,LTNG,2020,76,2504443107649
REGION1,LTNG,2021,77,2261179081494
REGION1,LTNG,2022,78,2017915055339
REGION1,LTNG,2023,79,1774651029184
REGION1,LTNG,2024,80,1531387003029
REGION1,LTNG,2025,81,1288122976874
REGION1,LTNG,2026,80,9523706678231
REGION1,LTNG,2027,80,7759290379587
REGION1,LTNG,2028,80,5994874080943
REGION1,LTNG,2029,80,42304577823
REGION1,LTNG,2030,80,2466041483657
REGION1,LTNG,2031,79,878398508469
REGION1,LTNG,2032,79,5101928685723
REGION1,LTNG,2033,79,1419872286756
REGION1,LTNG,2034,78,7737815887789
REGION1,LTNG,2035,78,4055759488823
REGION1,LTNG,2036,78,7930345032188
REGION1,LTNG,2037,79,1804930575553
REGION1,LTNG,2038,79,5679516118918
REGION1,LTNG,2039,79,9554101662284
REGION1,LTNG,2040,80,3428687205649
REGION1,LTNG,2041,80,8501860393287
REGION1,LTNG,2042,81,3575033580925
REGION1,LTNG,2043,81,8648206768563
REGION1,LTNG,2044,82,3721379956201
REGION1,LTNG,2045,82,8794553143839
REGION1,LTNG,2046,83,4554291929447
REGION1,LTNG,2047,84,0314030715054
REGION1,LTNG,2048,84,6073769500662
REGION1,LTNG,2049,85,1833508286269
REGION1,LTNG,2050,85,7593247071877
REGION1,LTNG,2051,85,7593247071877
REGION1,LTNG,2052,85,7593247071877
REGION1,LTNG,2053,85,7593247071877
REGION1,LTNG,2054,85,7593247071877
REGION1,LTNG,2055,85,7593247071877
REGION1,LTNG,2056,85,7593247071877
REGION1,LTNG,2057,85,7593247071877
REGION1,LTNG,2058,85,7593247071877
REGION1,LTNG,2059,85,7593247071877
REGION1,LTNG,2060,85,7593247071877
REGION1,LUNG,2015,26,2302890410607
REGION1,LUNG,2016,26,2809127904668
REGION1,LUNG,2017,26,3315365398728
REGION1,LUNG,2018,26,3821602892789
REGION1,LUNG,2019,26,4327840386849
REGION1,LUNG,2020,26,483407788091
REGION1,LUNG,2021,25,1047952306484
REGION1,LUNG,2022,23,7261826732058
REGION1,LUNG,2023,22,3475701157632
REGION1,LUNG,2024,20,9689575583207
REGION1,LUNG,2025,19,5903450008781
REGION1,LUNG,2026,18,9059604118344
REGION1,LUNG,2027,18,2215758227906
REGION1,LUNG,2028,17,5371912337469
REGION1,LUNG,2029,16,8528066447032
REGION1,LUNG,2030,16,1684220556594
REGION1,LUNG,2031,15,9588975418256
REGION1,LUNG,2032,15,7493730279917
REGION1,LUNG,2033,15,5398485141578
REGION1,LUNG,2034,15,3303240003239
REGION1,LUNG,2035,15,12079948649
REGION1,LUNG,2036,14,901399341073
REGION1,LUNG,2037,14,681999195656
REGION1,LUNG,2038,14,4625990502389
REGION1,LUNG,2039,14,2431989048219
REGION1,LUNG,2040,14,0237987594049
REGION1,LUNG,2041,13,9012097421209
REGION1,LUNG,2042,13,778620724837
REGION1,LUNG,2043,13,656031707553
REGION1,LUNG,2044,13,5334426902691
REGION1,LUNG,2045,13,4108536729852
REGION1,LUNG,2046,13,229509238188
REGION1,LUNG,2047,13,0481648033909
REGION1,LUNG,2048,12,8668203685937
REGION1,LUNG,2049,12,6854759337966
REGION1,LUNG,2050,12,5041314989995
REGION1,LUNG,2051,12,5041314989995
REGION1,LUNG,2052,12,5041314989995
REGION1,LUNG,2053,12,5041314989995
REGION1,LUNG,2054,12,5041314989995
REGION1,LUNG,2055,12,5041314989995
REGION1,LUNG,2056,12,5041314989995
REGION1,LUNG,2057,12,5041314989995
REGION1,LUNG,2058,12,5041314989995
REGION1,LUNG,2059,12,5041314989995
REGION1,LUNG,2060,12,5041314989995
REGION1,LVNG,2015,26,1994602035047
REGION1,LVNG,2016,24,4991066891417
REGION1,LVNG,2017,22,7987531747788
REGION1,LVNG,2018,21,0983996604158
REGION1,LVNG,2019,19,3980461460528
REGION1,LVNG,2020,17,6976926316899
REGION1,LVNG,2021,16,9209801807485
REGION1,LVNG,2022,16,144267729807
REGION1,LVNG,2023,15,3675552788656
REGION1,LVNG,2024,14,5908428279242
REGION1,LVNG,2025,13,8141303769828
REGION1,LVNG,2026,13,7623998184724
REGION1,LVNG,2027,13,710669259962
REGION1,LVNG,2028,13,6589387014517
REGION1,LVNG,2029,13,6072081429413
REGION1,LVNG,2030,13,5554775844309
REGION1,LVNG,2031,14,6981965096011
REGION1,LVNG,2032,15,8409154347713
REGION1,LVNG,2033,16,9836343599415
REGION1,LVNG,2034,18,1263532851117
REGION1,LVNG,2035,19,269072210282
REGION1,LVNG,2036,19,1020992900044
REGION1,LVNG,2037,18,9351263697268
REGION1,LVNG,2038,18,7681534494493
REGION1,LVNG,2039,18,6011805291717
REGION1,LVNG,2040,18,4342076088942
REGION1,LVNG,2041,18,4308233163848
REGION1,LVNG,2042,18,4274390238755
REGION1,LVNG,2043,18,4240547313662
REGION1,LVNG,2044,18,4206704388568
REGION1,LVNG,2045,18,4172861463475
REGION1,LVNG,2046,18,1436390914723
REGION1,LVNG,2047,17,869992036597
REGION1,LVNG,2048,17,5963449817218
REGION1,LVNG,2049,17,3226979268466
REGION1,LVNG,2050,17,0490508719714
REGION1,LVNG,2051,17,0490508719714
REGION1,LVNG,2052,17,0490508719714
REGION1,LVNG,2053,17,0490508719714
REGION1,LVNG,2054,17,0490508719714
REGION1,LVNG,2055,17,0490508719714
REGION1,LVNG,2056,17,0490508719714
REGION1,LVNG,2057,17,0490508719714
REGION1,LVNG,2058,17,0490508719714
REGION1,LVNG,2059,17,0490508719714
REGION1,LVNG,2060,17,0490508719714
REGION1,MTNG,2015,0
REGION1,MTNG,2016,0
REGION1,MTNG,2017,0
REGION1,MTNG,2018,0
REGION1,MTNG,2019,0
REGION1,MTNG,2020,0
REGION1,MTNG,2021,0
REGION1,MTNG,2022,0
REGION1,MTNG,2023,0
REGION1,MTNG,2024,0
REGION1,MTNG,2025,0
REGION1,MTNG,2026,0
REGION1,MTNG,2027,0
REGION1,MTNG,2028,0
REGION1,MTNG,2029,0
REGION1,MTNG,2030,0
REGION1,MTNG,2031,0
REGION1,MTNG,2032,0
REGION1,MTNG,2033,0,206527491169284
REGION1,MTNG,2034,0,420906270122607
REGION1,MTNG,2035,0,635285049075937
REGION1,MTNG,2036,0,736125488977404
REGION1,MTNG,2037,0,836965928878872
REGION1,MTNG,2038,0,93780636878034
REGION1,MTNG,2039,1,0386468086818
REGION1,MTNG,2040,1,13948724858328
REGION1,MTNG,2041,1,5318534872738
REGION1,MTNG,2042,1,92421972596431
REGION1,MTNG,2043,2,31658596465483
REGION1,MTNG,2044,2,70895220334535
REGION1,MTNG,2045,3,10131844203586
REGION1,MTNG,2046,3,78225933354664
REGION1,MTNG,2047,4,46320022505743
REGION1,MTNG,2048,5,14414111656821
REGION1,MTNG,2049,5,825082008079
REGION1,MTNG,2050,6,50602289958978
REGION1,MTNG,2051,6,50602289958978
REGION1,MTNG,2052,6,50602289958978
REGION1,MTNG,2053,6,50602289958978
REGION1,MTNG,2054,6,50602289958978
REGION1,MTNG,2055,6,50602289958978
REGION1,MTNG,2056,6,50602289958978
REGION1,MTNG,2057,6,50602289958978
REGION1,MTNG,2058,6,50602289958978
REGION1,MTNG,2059,6,50602289958978
REGION1,MTNG,2060,6,50602289958978
REGION1,NLNG,2015,817,56764368436
REGION1,NLNG,2016,809,455622538855
REGION1,NLNG,2017,801,34360139335
REGION1,NLNG,2018,793,231580247845
REGION1,NLNG,2019,785,11955910234
REGION1,NLNG,2020,777,007537956835
REGION1,NLNG,2021,769,044315333026
REGION1,NLNG,2022,761,081092709217
REGION1,NLNG,2023,753,117870085409
REGION1,NLNG,2024,745,1546474616
REGION1,NLNG,2025,737,191424837791
REGION1,NLNG,2026,739,625094835989
REGION1,NLNG,2027,742,058764834186
REGION1,NLNG,2028,744,492434832383
REGION1,NLNG,2029,746,92610483058
REGION1,NLNG,2030,749,359774828777
REGION1,NLNG,2031,744,020990366443
REGION1,NLNG,2032,738,682205904108
REGION1,NLNG,2033,733,343421441774
REGION1,NLNG,2034,728,004636979439
REGION1,NLNG,2035,722,665852517105
REGION1,NLNG,2036,722,143746336132
REGION1,NLNG,2037,721,621640155159
REGION1,NLNG,2038,721,099533974186
REGION1,NLNG,2039,720,577427793213
REGION1,NLNG,2040,720,05532161224
REGION1,NLNG,2041,728,753921767182
REGION1,NLNG,2042,737,452521922125
REGION1,NLNG,2043,746,151122077068
REGION1,NLNG,2044,754,849722232011
REGION1,NLNG,2045,763,548322386954
REGION1,NLNG,2046,767,433869319725
REGION1,NLNG,2047,771,319416252495
REGION1,NLNG,2048,775,204963185266
REGION1,NLNG,2049,779,090510118036
REGION1,NLNG,2050,782,976057050807
REGION1,NLNG,2051,782,976057050807
REGION1,NLNG,2052,782,976057050807
REGION1,NLNG,2053,782,976057050807
REGION1,NLNG,2054,782,976057050807
REGION1,NLNG,2055,782,976057050807
REGION1,NLNG,2056,782,976057050807
REGION1,NLNG,2057,782,976057050807
REGION1,NLNG,2058,782,976057050807
REGION1,NLNG,2059,782,976057050807
REGION1,NLNG,2060,782,976057050807
REGION1,PLNG,2015,511,00772919074
REGION1,PLNG,2016,505,568361926867
REGION1,PLNG,2017,500,128994662994
REGION1,PLNG,2018,494,689627399121
REGION1,PLNG,2019,489,250260135249
REGION1,PLNG,2020,483,810892871376
REGION1,PLNG,2021,492,596278439226
REGION1,PLNG,2022,501,381664007077
REGION1,PLNG,2023,510,167049574927
REGION1,PLNG,2024,518,952435142778
REGION1,PLNG,2025,527,737820710628
REGION1,PLNG,2026,529,52126438647
REGION1,PLNG,2027,531,304708062311
REGION1,PLNG,2028,533,088151738153
REGION1,PLNG,2029,534,871595413994
REGION1,PLNG,2030,536,655039089835
REGION1,PLNG,2031,543,452832951922
REGION1,PLNG,2032,550,250626814009
REGION1,PLNG,2033,557,048420676096
REGION1,PLNG,2034,563,846214538183
REGION1,PLNG,2035,570,64400840027
REGION1,PLNG,2036,570,647841205314
REGION1,PLNG,2037,570,651674010356
REGION1,PLNG,2038,570,6555068154
REGION1,PLNG,2039,570,659339620443
REGION1,PLNG,2040,570,663172425486
REGION1,PLNG,2041,570,198711737941
REGION1,PLNG,2042,569,734251050396
REGION1,PLNG,2043,569,269790362851
REGION1,PLNG,2044,568,805329675306
REGION1,PLNG,2045,568,34086898776
REGION1,PLNG,2046,574,506792301934
REGION1,PLNG,2047,580,672715616108
REGION1,PLNG,2048,586,838638930281
REGION1,PLNG,2049,593,004562244455
REGION1,PLNG,2050,599,170485558628
REGION1,PLNG,2051,599,170485558628
REGION1,PLNG,2052,599,170485558628
REGION1,PLNG,2053,599,170485558628
REGION1,PLNG,2054,599,170485558628
REGION1,PLNG,2055,599,170485558628
REGION1,PLNG,2056,599,170485558628
REGION1,PLNG,2057,599,170485558628
REGION1,PLNG,2058,599,170485558628
REGION1,PLNG,2059,599,170485558628
REGION1,PLNG,2060,599,170485558628
REGION1,PTNG,2015,80,6399333679183
REGION1,PTNG,2016,78,3804396750414
REGION1,PTNG,2017,76,1209459821645
REGION1,PTNG,2018,73,8614522892876
REGION1,PTNG,2019,71,6019585964107
REGION1,PTNG,2020,69,3424649035337
REGION1,PTNG,2021,72,0153506941202
REGION1,PTNG,2022,74,6882364847067
REGION1,PTNG,2023,77,3611222752931
REGION1,PTNG,2024,80,0340080658796
REGION1,PTNG,2025,82,7068938564661
REGION1,PTNG,2026,80,3647300668033
REGION1,PTNG,2027,78,0225662771407
REGION1,PTNG,2028,75,680402487478
REGION1,PTNG,2029,73,3382386978153
REGION1,PTNG,2030,70,9960749081526
REGION1,PTNG,2031,70,4576307411005
REGION1,PTNG,2032,69,9191865740484
REGION1,PTNG,2033,69,3807424069962
REGION1,PTNG,2034,68,8422982399441
REGION1,PTNG,2035,68,303854072892
REGION1,PTNG,2036,68,5402272546396
REGION1,PTNG,2037,68,7766004363872
REGION1,PTNG,2038,69,0129736181348
REGION1,PTNG,2039,69,2493467998824
REGION1,PTNG,2040,69,48571998163
REGION1,PTNG,2041,69,1222387816908
REGION1,PTNG,2042,68,7587575817517
REGION1,PTNG,2043,68,3952763818125
REGION1,PTNG,2044,68,0317951818733
REGION1,PTNG,2045,67,6683139819341
REGION1,PTNG,2046,67,3627508683848
REGION1,PTNG,2047,67,0571877548353
REGION1,PTNG,2048,66,7516246412859
REGION1,PTNG,2049,66,4460615277365
REGION1,PTNG,2050,66,1404984141871
REGION1,PTNG,2051,66,1404984141871
REGION1,PTNG,2052,66,1404984141871
REGION1,PTNG,2053,66,1404984141871
REGION1,PTNG,2054,66,1404984141871
REGION1,PTNG,2055,66,1404984141871
REGION1,PTNG,2056,66,1404984141871
REGION1,PTNG,2057,66,1404984141871
REGION1,PTNG,2058,66,1404984141871
REGION1,PTNG,2059,66,1404984141871
REGION1,PTNG,2060,66,1404984141871
REGION1,RONG,2015,297,108384057368
REGION1,RONG,2016,298,187906235225
REGION1,RONG,2017,299,267428413082
REGION1,RONG,2018,300,346950590939
REGION1,RONG,2019,301,426472768796
REGION1,RONG,2020,302,505994946653
REGION1,RONG,2021,303,283571170846
REGION1,RONG,2022,304,061147395038
REGION1,RONG,2023,304,838723619231
REGION1,RONG,2024,305,616299843424
REGION1,RONG,2025,306,393876067616
REGION1,RONG,2026,299,662551418167
REGION1,RONG,2027,292,931226768717
REGION1,RONG,2028,286,199902119267
REGION1,RONG,2029,279,468577469818
REGION1,RONG,2030,272,737252820368
REGION1,RONG,2031,272,00063978393
REGION1,RONG,2032,271,264026747492
REGION1,RONG,2033,270,527413711054
REGION1,RONG,2034,269,790800674616
REGION1,RONG,2035,269,054187638177
REGION1,RONG,2036,267,079461631632
REGION1,RONG,2037,265,104735625087
REGION1,RONG,2038,263,130009618542
REGION1,RONG,2039,261,155283611997
REGION1,RONG,2040,259,180557605452
REGION1,RONG,2041,257,362667170115
REGION1,RONG,2042,255,544776734779
REGION1,RONG,2043,253,726886299443
REGION1,RONG,2044,251,908995864106
REGION1,RONG,2045,250,09110542877
REGION1,RONG,2046,250,312745456309
REGION1,RONG,2047,250,534385483848
REGION1,RONG,2048,250,756025511386
REGION1,RONG,2049,250,977665538925
REGION1,RONG,2050,251,199305566464
REGION1,RONG,2051,251,199305566464
REGION1,RONG,2052,251,199305566464
REGION1,RONG,2053,251,199305566464
REGION1,RONG,2054,251,199305566464
REGION1,RONG,2055,251,199305566464
REGION1,RONG,2056,251,199305566464
REGION1,RONG,2057,251,199305566464
REGION1,RONG,2058,251,199305566464
REGION1,RONG,2059,251,199305566464
REGION1,RONG,2060,251,199305566464
REGION1,SENG,2015,28,3520097861896
REGION1,SENG,2016,30,5687739297223
REGION1,SENG,2017,32,7855380732551
REGION1,SENG,2018,35,0023022167879
REGION1,SENG,2019,37,2190663603206
REGION1,SENG,2020,39,4358305038534
REGION1,SENG,2021,39,4429558687823
REGION1,SENG,2022,39,4500812337112
REGION1,SENG,2023,39,4572065986401
REGION1,SENG,2024,39,464331963569
REGION1,SENG,2025,39,471457328498
REGION1,SENG,2026,40,3660983191955
REGION1,SENG,2027,41,2607393098931
REGION1,SENG,2028,42,1553803005907
REGION1,SENG,2029,43,0500212912882
REGION1,SENG,2030,43,9446622819858
REGION1,SENG,2031,47,346444085338
REGION1,SENG,2032,50,7482258886903
REGION1,SENG,2033,54,1500076920425
REGION1,SENG,2034,57,5517894953948
REGION1,SENG,2035,60,953571298747
REGION1,SENG,2036,64,8454600380803
REGION1,SENG,2037,68,7373487774137
REGION1,SENG,2038,72,629237516747
REGION1,SENG,2039,76,5211262560803
REGION1,SENG,2040,80,4130149954136
REGION1,SENG,2041,82,3149375125602
REGION1,SENG,2042,84,2168600297069
REGION1,SENG,2043,86,1187825468535
REGION1,SENG,2044,88,0207050640001
REGION1,SENG,2045,89,9226275811468
REGION1,SENG,2046,91,9635099635669
REGION1,SENG,2047,94,0043923459872
REGION1,SENG,2048,96,0452747284074
REGION1,SENG,2049,98,0861571108276
REGION1,SENG,2050,100,127039493248
REGION1,SENG,2051,100,127039493248
REGION1,SENG,2052,100,127039493248
REGION1,SENG,2053,100,127039493248
REGION1,SENG,2054,100,127039493248
REGION1,SENG,2055,100,127039493248
REGION1,SENG,2056,100,127039493248
REGION1,SENG,2057,100,127039493248
REGION1,SENG,2058,100,127039493248
REGION1,SENG,2059,100,127039493248
REGION1,SENG,2060,100,127039493248
REGION1,SING,2015,25,9916078515031
REGION1,SING,2016,25,4782403027213
REGION1,SING,2017,24,9648727539396
REGION1,SING,2018,24,4515052051579
REGION1,SING,2019,23,9381376563762
REGION1,SING,2020,23,4247701075945
REGION1,SING,2021,24,1608395891674
REGION1,SING,2022,24,8969090707403
REGION1,SING,2023,25,6329785523131
REGION1,SING,2024,26,369048033886
REGION1,SING,2025,27,1051175154589
REGION1,SING,2026,26,5878238415161
REGION1,SING,2027,26,0705301675732
REGION1,SING,2028,25,5532364936304
REGION1,SING,2029,25,0359428196875
REGION1,SING,2030,24,5186491457446
REGION1,SING,2031,23,7830709634441
REGION1,SING,2032,23,0474927811436
REGION1,SING,2033,22,311914598843
REGION1,SING,2034,21,5763364165425
REGION1,SING,2035,20,840758234242
REGION1,SING,2036,20,7083090100572
REGION1,SING,2037,20,5758597858724
REGION1,SING,2038,20,4434105616877
REGION1,SING,2039,20,3109613375029
REGION1,SING,2040,20,1785121133181
REGION1,SING,2041,19,8755685956974
REGION1,SING,2042,19,5726250780767
REGION1,SING,2043,19,269681560456
REGION1,SING,2044,18,9667380428353
REGION1,SING,2045,18,6637945252146
REGION1,SING,2046,18,7452448494021
REGION1,SING,2047,18,8266951735896
REGION1,SING,2048,18,9081454977772
REGION1,SING,2049,18,9895958219647
REGION1,SING,2050,19,0710461461522
REGION1,SING,2051,19,0710461461522
REGION1,SING,2052,19,0710461461522
REGION1,SING,2053,19,0710461461522
REGION1,SING,2054,19,0710461461522
REGION1,SING,2055,19,0710461461522
REGION1,SING,2056,19,0710461461522
REGION1,SING,2057,19,0710461461522
REGION1,SING,2058,19,0710461461522
REGION1,SING,2059,19,0710461461522
REGION1,SING,2060,19,0710461461522
REGION1,SKNG,2015,146,491895718339
REGION1,SKNG,2016,142,889829880721
REGION1,SKNG,2017,139,287764043103
REGION1,SKNG,2018,135,685698205485
REGION1,SKNG,2019,132,083632367866
REGION1,SKNG,2020,128,481566530248
REGION1,SKNG,2021,129,212537021875
REGION1,SKNG,2022,129,943507513502
REGION1,SKNG,2023,130,674478005129
REGION1,SKNG,2024,131,405448496756
REGION1,SKNG,2025,132,136418988383
REGION1,SKNG,2026,131,862711881288
REGION1,SKNG,2027,131,589004774193
REGION1,SKNG,2028,131,315297667098
REGION1,SKNG,2029,131,041590560003
REGION1,SKNG,2030,130,767883452908
REGION1,SKNG,2031,131,228928526154
REGION1,SKNG,2032,131,689973599399
REGION1,SKNG,2033,132,151018672645
REGION1,SKNG,2034,132,61206374589
REGION1,SKNG,2035,133,073108819136
REGION1,SKNG,2036,132,434818982103
REGION1,SKNG,2037,131,79652914507
REGION1,SKNG,2038,131,158239308037
REGION1,SKNG,2039,130,519949471004
REGION1,SKNG,2040,129,881659633971
REGION1,SKNG,2041,129,302985322444
REGION1,SKNG,2042,128,724311010916
REGION1,SKNG,2043,128,145636699389
REGION1,SKNG,2044,127,566962387862
REGION1,SKNG,2045,126,988288076334
REGION1,SKNG,2046,125,88591092549
REGION1,SKNG,2047,124,783533774646
REGION1,SKNG,2048,123,681156623802
REGION1,SKNG,2049,122,578779472958
REGION1,SKNG,2050,121,476402322114
REGION1,SKNG,2051,121,476402322114
REGION1,SKNG,2052,121,476402322114
REGION1,SKNG,2053,121,476402322114
REGION1,SKNG,2054,121,476402322114
REGION1,SKNG,2055,121,476402322114
REGION1,SKNG,2056,121,476402322114
REGION1,SKNG,2057,121,476402322114
REGION1,SKNG,2058,121,476402322114
REGION1,SKNG,2059,121,476402322114
REGION1,SKNG,2060,121,476402322114
REGION1,NONG,2015,0
REGION1,NONG,2016,158,265
REGION1,NONG,2017,154,748
REGION1,NONG,2018,161,782
REGION1,NONG,2019,154,748
REGION1,NONG,2020,161,782
REGION1,NONG,2021,154,748
REGION1,NONG,2022,151,231
REGION1,NONG,2023,147,450225
REGION1,NONG,2024,143,763969375
REGION1,NONG,2025,140,169870140625
REGION1,NONG,2026,136,665623387109
REGION1,NONG,2027,133,248982802432
REGION1,NONG,2028,129,917758232371
REGION1,NONG,2029,126,669814276562
REGION1,NONG,2030,123,503068919648
REGION1,NONG,2031,120,415492196656
REGION1,NONG,2032,117,40510489174
REGION1,NONG,2033,114,469977269446
REGION1,NONG,2034,111,60822783771
REGION1,NONG,2035,108,818022141768
REGION1,NONG,2036,106,097571588223
REGION1,NONG,2037,103,445132298518
REGION1,NONG,2038,100,859003991055
REGION1,NONG,2039,98,3375288912784
REGION1,NONG,2040,95,8790906689965
REGION1,NONG,2041,93,4821134022716
REGION1,NONG,2042,91,1450605672148
REGION1,NONG,2043,88,8664340530344
REGION1,NONG,2044,86,6447732017085
REGION1,NONG,2045,84,4786538716658
REGION1,NONG,2046,82,3666875248742
REGION1,NONG,2047,80,3075203367523
REGION1,NONG,2048,78,2998323283335
REGION1,NONG,2049,76,3423365201252
REGION1,NONG,2050,74,4337781071221
REGION1,NONG,2051,72,572933654444
REGION1,NONG,2052,70,7586103130829
REGION1,NONG,2053,68,9896450552558
REGION1,NONG,2054,67,2649039288744
REGION1,NONG,2055,65,5832813306526
REGION1,NONG,2056,63,9436992973863
REGION1,NONG,2057,62,3451068149516
REGION1,NONG,2058,60,7864791445778
REGION1,NONG,2059,59,2668171659634
REGION1,NONG,2060,57,7851467368143
REGION1,UKNG,2015,56,3405180683939
REGION1,UKNG,2016,1803,14843459268
REGION1,UKNG,2017,1789,29821161775
REGION1,UKNG,2018,1775,44798864282
REGION1,UKNG,2019,1761,59776566788
REGION1,UKNG,2020,1747,74754269295
REGION1,UKNG,2021,1821,54547773089
REGION1,UKNG,2022,1780,26789197873
REGION1,UKNG,2023,1738,99030622656
REGION1,UKNG,2024,1697,7127204744
REGION1,UKNG,2025,1656,43513472224
REGION1,UKNG,2026,1670,75859345175
REGION1,UKNG,2027,1657,79259330129
REGION1,UKNG,2028,1644,82659315083
REGION1,UKNG,2029,1631,86059300037
REGION1,UKNG,2030,1618,89459284991
REGION1,UKNG,2031,1588,25766320227
REGION1,UKNG,2032,1549,09668550051
REGION1,UKNG,2033,1509,93570779875
REGION1,UKNG,2034,1470,774730097
REGION1,UKNG,2035,1431,61375239524
REGION1,UKNG,2036,1497,19923153558
REGION1,UKNG,2037,1480,1534151106
REGION1,UKNG,2038,1463,10759868562
REGION1,UKNG,2039,1446,06178226064
REGION1,UKNG,2040,1429,01596583566
REGION1,UKNG,2041,1455,10244634979
REGION1,UKNG,2042,1439,33792381115
REGION1,UKNG,2043,1423,57340127252
REGION1,UKNG,2044,1407,80887873388
REGION1,UKNG,2045,1392,04435619525
REGION1,UKNG,2046,1493,23768236033
REGION1,UKNG,2047,1488,97847146497
REGION1,UKNG,2048,1484,71926056961
REGION1,UKNG,2049,1480,46004967425
REGION1,UKNG,2050,1476,20083877889
REGION1,UKNG,2051,1484,76705473733
REGION1,UKNG,2052,1484,76705473733
REGION1,UKNG,2053,1484,76705473733
REGION1,UKNG,2054,1484,76705473733
REGION1,UKNG,2055,1484,76705473733
REGION1,UKNG,2056,1484,76705473733
REGION1,UKNG,2057,1484,76705473733
REGION1,UKNG,2058,1484,76705473733
REGION1,UKNG,2059,1484,76705473733
REGION1,UKNG,2060,1484,76705473733
REGION1,CHNG,2015,120
REGION1,CHNG,2016,130
REGION1,CHNG,2017,120
REGION1,CHNG,2018,120
REGION1,CHNG,2019,120
REGION1,CHNG,2020,120
REGION1,CHNG,2021,130
REGION1,CHNG,2022,130
REGION1,CHNG,2023,130
REGION1,CHNG,2024,130
REGION1,CHNG,2025,130
REGION1,CHNG,2026,130
REGION1,CHNG,2027,130
REGION1,CHNG,2028,130
REGION1,CHNG,2029,130
REGION1,CHNG,2030,130
REGION1,CHNG,2031,130
REGION1,CHNG,2032,130
REGION1,CHNG,2033,130
REGION1,CHNG,2034,130
REGION1,CHNG,2035,130
REGION1,CHNG,2036,130
REGION1,CHNG,2037,130
REGION1,CHNG,2038,130
REGION1,CHNG,2039,130
REGION1,CHNG,2040,130
REGION1,CHNG,2041,130
REGION1,CHNG,2042,130
REGION1,CHNG,2043,130
REGION1,CHNG,2044,130
REGION1,CHNG,2045,130
REGION1,CHNG,2046,130
REGION1,CHNG,2047,130
REGION1,CHNG,2048,130
REGION1,CHNG,2049,130
REGION1,CHNG,2050,130
REGION1,CHNG,2051,130
REGION1,CHNG,2052,130
REGION1,CHNG,2053,130
REGION1,CHNG,2054,130
REGION1,CHNG,2055,130
REGION1,CHNG,2056,130
REGION1,CHNG,2057,130
REGION1,CHNG,2058,130
REGION1,CHNG,2059,130
REGION1,CHNG,2060,130